"UID","ID_StoneNumber","ID_Building","ID_Room","ID_Masonry","ID_Trench","ID_Context","Check_Retained","Location_Address","Location_Grid","Location_X","Location_Y","Mesure_Weight","Mesure_Depth","Mesure_Width","Mesure_Length","Mesure_Diam","Description_Dimensions","Material_Type","Description_Material","Description_Finish","Description_Purpose","Description_Characteristics","Description_Condition","Description_Comments","Created_Date","Edit_LastEdit"
1,1.00,1.00,".",,,,0,"353,389.59E 177,552.74N m",,353389.59,177552.74,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:45:32 BY Admin; "
2,2.00,1.00,"/",,,,0,"353,391.49E 177,553.49N m",,353391.49,177553.49,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:45:39 BY Admin; "
3,3.00,1.00,"0",,,,0,"353,393.33E 177,554.10N m",,353393.33,177554.10,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:45:50 BY Admin; "
4,4.00,1.00,"1",,,,0,"353,396.07E 177,555.21N m",,353396.07,177555.21,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:46:02 BY Admin; "
5,5.00,1.00,"2",,,,0,"353,398.28E 177,556.00N m",,353398.28,177556.00,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:46:12 BY Admin; "
6,6.00,1.00,"3",,,,0,"353,396.23E 177,555.89N m",,353396.23,177555.89,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:46:48 BY Admin; "
19,7.00,1.00,"",,,,0,"353,394.52E 177,551.33N m",,353394.52,177551.33,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:48:03 BY Admin; "
20,8.00,1.00,"",,,,0,"353,397.46E 177,552.40N m",,353397.46,177552.40,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:48:14 BY Admin; "
21,9.00,1.00," ",,,,0,"353,394.98E 177,549.96N m",,353394.98,177549.96,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:48:30 BY Admin; "
22,10.00,1.00,"!",,,,0,"353,398.09E 177,551.02N m",,353398.09,177551.02,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:49:37 BY Admin; "
23,11.00,1.00,"""",,,,0,"353,395.26E 177,549.16N m",,353395.26,177549.16,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:49:32 BY Admin; "
24,12.00,1.00,"#",,,,0,"353,398.42E 177,550.25N m",,353398.42,177550.25,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:49:30 BY Admin; "
17,13.00,1.00,"-",,,,0,"353,407.32E 177,556.66N m",,353407.32,177556.66,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:50:19 BY Admin; "
16,14.00,1.00,"+",,,,0,"353,407.96E 177,556.89N m",,353407.96,177556.89,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:50:24 BY Admin; "
15,15.00,1.00,"*",,,,0,"353,407.53E 177,556.15N m",,353407.53,177556.15,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:50:33 BY Admin; "
14,16.00,1.00,")",,,,0,"353,408.22E 177,556.35N m",,353408.22,177556.35,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:50:41 BY Admin; "
13,17.00,1.00,"(",,,,0,"353,407.79E 177,555.54N m",,353407.79,177555.54,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:50:51 BY Admin; "
12,18.00,1.00,"'",,,,0,"353,408.37E 177,555.72N m",,353408.37,177555.72,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:51:00 BY Admin; "
11,19.00,1.00,"&",,,,0,"353,407.96E 177,554.99N m",,353407.96,177554.99,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:51:09 BY Admin; "
10,20.00,1.00,"%",,,,0,"353,408.59E 177,555.14N m",,353408.59,177555.14,"N/A",0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:51:20 BY Admin; "
9,21.00,1.00,"",,,,0,"353,396.23E 177,551.21N m",,353396.23,177551.21,"N/A",0.00,0.00,0.00,0.00,,,,,"THRESHOLD",,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:53:51 BY Admin; "
7,22.00,1.00,"4",,,,0,"353,399.44E 177,556.40N m",,353399.44,177556.40,,0.00,0.00,0.00,0.00,,,,,,,,,19/03/2021 00:00:00,"EDIT ON 19/03/2021 15:55:50 BY Admin; "
18,23.00,1.00,"",,,,0,"Entrance to R.04-R.05",,353380.36,177549.47,"N/A",20.00,550.00,910.00,0.00,"L-760 x W-550 x L-920 x W-550",,"SANDSTONE","Dressed surface","THRESHOLD",,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:53:22 BY Admin; "
25,24.00,1.00,"$",,,,0,"Entrance to R.11-R.08",,353404.99,177556.42,"N/A",0.00,0.00,0.00,0.00,,,,,"THRESHOLD",,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:53:21 BY Admin; "
8,25.00,1.00,"",,,,0,"Entrance to R.12-R.10",,353401.65,177561.59,"N/A",0.00,0.00,0.00,0.00,,,,,"THRESHOLD",,,,16/03/2021 00:00:00,"EDIT ON 19/03/2021 15:53:19 BY Admin; "
